rank,city,state,niche,payout_type,payout,avg_payout,zips,population,density,county,score
"861","Ault","CO","Garage Door","CPL","31","31","1","2425","497","Weld","21.49"
"862","Conifer","CO","Garage Door","CPL","31","31","1","742","113","Jefferson","21.49"
"863","Eldorado Springs","CO","Garage Door","CPL","31","31","1","320","53","Boulder","21.49"
"864","Hudson","CO","Garage Door","CPL","31","31","1","2006","121","Weld","21.49"
"865","Idledale","CO","Garage Door","CPL","31","31","1","297","181","Jefferson","21.49"
"866","Indian Hills","CO","Garage Door","CPL","31","31","1","986","94","Jefferson","21.49"
"867","Jamestown","CO","Garage Door","CPL","31","31","1","324","172","Boulder","21.49"
"868","Keenesburg","CO","Garage Door","CPL","31","31","1","2347","77","Weld","21.49"
"869","Kersey","CO","Garage Door","CPL","31","31","1","1064","215","Weld","21.49"
"870","Kittredge","CO","Garage Door","CPL","31","31","1","812","173","Jefferson","21.49"
"871","Laporte","CO","Garage Door","CPL","31","31","1","1771","134","Larimer","21.49"
"872","Lyons","CO","Garage Door","CPL","31","31","1","1838","545","Boulder","21.49"
"873","Medford","NJ","Garage Door","CPL","38.5","38.5","1","4297","1446","Burlington","21.49"
"874","Morrison","CO","Garage Door","CPL","31","31","1","412","97","Jefferson","21.49"
"875","Nederland","CO","Garage Door","CPL","31","31","1","1655","397","Boulder","21.49"
"876","Nunn","CO","Garage Door","CPL","31","31","1","358","41","Weld","21.49"
"877","Pierce","CO","Garage Door","CPL","31","31","1","1201","229","Weld","21.49"
"878","Red Feather Lakes","CO","Garage Door","CPL","31","31","1","365","15","Larimer","21.49"
"879","Ward","CO","Garage Door","CPL","31","31","1","103","64","Boulder","21.49"
"880","Oxford","AL","Garage Door","CPL","74","74","1","22063","267","Calhoun","21.47"
"881","Westville","NJ","Garage Door","CPL","38.5","38.5","1","4310","1616","Gloucester","21.46"
"882","Hendersonville","TN","Garage Door","CPL","74","74","2","63091","760","Sumner","21.37"
"883","Magnolia","NJ","Garage Door","CPL","38.5","38.5","1","4354","1721","Camden","21.37"
"884","Silver Spring","MD","Garage Door","CPL","38.5","38.5","7","81462","4023","Montgomery","21.29"
"885","Thorndale","PA","Garage Door","CPL","36.5","36.5","1","3854","858","Chester","21.28"
"886","La Center","WA","Garage Door","CPL","36.5","36.5","1","3883","570","Clark","21.21"
"887","Blackwood","NJ","Garage Door","CPL","38.5","38.5","1","4443","1461","Camden","21.2"
"888","Sykesville","MD","Garage Door","CPL","38.5","38.5","1","4491","1050","Carroll","21.11"
"889","Gainesville","GA","Garage Door","CPL","74","74","4","184237","503","Hall","21.1"
"890","Highwood","IL","Garage Door","CPL","41","41","1","5301","2812","Lake","21.04"
"891","Grandview","MO","Garage Door","CPL","78","78","1","26527","677","Jackson","21.02"
"892","West Chester","PA","Garage Door","CPL","36.5","36.5","3","20666","4023","Chester","21.01"
"893","Greenwood","IN","Garage Door","CPL","74","74","2","66029","864","Johnson","20.99"
"894","Mullica Hill","NJ","Garage Door","CPL","38.5","38.5","1","4591","470","Gloucester","20.93"
"895","Mount Ephraim","NJ","Garage Door","CPL","38.5","38.5","1","4669","2030","Camden","20.79"
"896","Kingsville","MD","Garage Door","CPL","38.5","38.5","1","4687","184","Baltimore","20.75"
"897","Upper Falls","MD","Garage Door","CPL","38.5","38.5","1","4687","184","Baltimore","20.75"
"898","Bethesda","MD","Garage Door","CPL","38.5","38.5","6","69397","1962","Montgomery","20.69"
